"","TDC1","logmv","dltt_cr","dlc_cr","pstk_cr","che_cr","Industry_Code4","bkvlps","croa","dpr","epsfx","gmargin","roa","roe","aturn","dr","der","wcap","fincf_cr","ivncf_cr","oancf_cr","fitted.values","residuals","stresiduals"
"67",464.011,12.8213238354449,41.7484969638302,19.5254980929099,0,41.3797749468908,"Standard",97.4572,0.0608340016648105,0,8.06,0.199074502069787,0.0377661131234963,0.43575355625326,0.370032650051503,0.150840197192628,0.691373199933553,0,13.9778561499221,-26.8556540057193,31.7513277804606,9.15032247381991,-3.01041421497811,-4.74222068117298
"651",520.042,12.7471353851203,27.4328942322886,12.5992104989487,0,44.0902074948666,"Standard",10.8974,0.186972108780397,0.419996375826765,2.63,0.73755075129264,0.128051327269352,0.626460985629698,0.501502459625023,0.119761694820865,0.612639948412356,40.9404250770084,-20.3230860008112,-26.6056068230698,31.8242316263828,9.56820044385045,-3.31429086630586,-5.1756263758999
"660",60,5.67085527573088,4.04629544902526,2.38848652157954,0,5.95971156059465,"21",31.346,0.0916128789996537,0,-2.06,0.350909834973447,-0.0496647571523342,-0.405318269384592,0.438398344438557,0.166628420749592,0.606777917334629,5.82154098455027,-3.24974356951132,-3.15171654154285,3.52807353949852,7.37485112936069,-3.28050656713859,-4.95893602279833
"1003",246.289,7.78590479483626,11.3328046658432,1.80696886932119,0,6.30296324864413,"32",24.9062,0.0963213189946385,0.0746753246753247,2.59,0.300927536231884,0.0286360678092169,0.474847029101363,0.53460191526947,0.451173025072055,1.19041111454316,8.29957901769558,10.9828935211086,-12.304697789107,6.77371630022358,8.35493842061038,-2.84843277746376,-4.29681325614813
"1180",234.869,8.44408902297526,14.1590917443333,0,6.54296585733146,3.5782640897986,"Standard",18.0106,0.0771818160848145,1.48098993331136,1.18,0.221985922200665,0.0329599592950311,0.40401127738452,0.290259089667604,0.474481167098644,0.982813074910353,0,-5.76419680317172,-6.54905683445767,7.72919149163502,8.45235835147354,-2.99333043956913,-4.5287230980953
"1239",61.721,7.04522506594029,4.64158883361278,0,0,4.26013268558928,"Standard",9.3961,0.110372738203466,0,1.44,0.28612372068827,0.0848036599313763,0.541514419120405,1.4566773219156,0.117305492829702,0.603361983523945,6.27305193943078,-4.20296464910667,-4.5130812780863,4.54828659875421,7.97894146758881,-3.85631723802161,-5.84334044001958
"1284",20.914,7.71828629552888,7.80823697022498,0,0,10.822856827785,"Standard",6.3729,0.0953852359822509,0,-3.48,0.266326419425674,-0.1252610819775,-0.791746783275963,0.485382994935234,0.213373223970239,0.945571181867299,9.3410220091032,0.975399792214663,-6.03810014366648,5.9703537579823,8.38756033368025,-5.34714154250385,-8.20436036959731
"1409",233.13,8.41370871489601,14.0957786266444,0,0,3.36604024986624,"Standard",14.479,0.0587944343661454,1.92746332822734,0.81,0.396799617695313,0.0265800686932844,0.377348609492928,0.141648943772474,0.469265711716412,0.98257036589547,0,9.66019754778066,-10.8123087829683,7.05334080383744,8.6416131566875,-3.19001691879824,-4.82007616418132
"1608",610.455,12.2932678972805,4.91868473445873,4.84880758583988,0,22.3731129355339,"Standard",12.9053,0.13580031853474,0,1.1,0.924193807155463,0.0731634481385626,0.433473698006215,0.310222974318137,0.00579832769261398,0.186193971011464,23.0496721061702,11.624975912387,-18.0829504804492,17.6056197618667,9.63492163847571,-3.22071705771538,-5.00519820347589
"1682",375.414,8.79446659867071,4.91781657804819,3.42260030461125,0,5.9768086236517,"Standard",7.6185,0.333999472998564,0,0.77,0.671562570881937,0.068062604815414,0.468687300870151,1.10470644296195,0.0979077550477626,0.529077584367418,5.25388978547974,-5.39796448201225,-7.53673826466561,8.15585036674179,8.65769460274707,-2.7296651857365,-4.11144899914632
"1703",183.686,7.38939747286556,10.1192750239662,3.65696424792707,0,2.52356386653235,"Standard",18.443,0.0538491482380855,1.78398839636325,0.86,0.380496292876141,0.0232878771963429,0.351889633545565,0.107950807685733,0.446988917105884,0.942168884202307,0,8.54605679802797,-9.08058898286328,5.07519675359722,8.17972753352538,-2.96649975542245,-4.47612444233124
"1757",35,6.34433804469662,0,0,0,5.96084691356562,"32",8.2112,0.112574974863918,0.393383458646617,1.22,0.219340740350693,0.115279270533578,0.529178387694539,0.740729986478522,0,0,6.53728473541942,-2.7608496998753,1.88595366238359,3.73136233829075,7.34193113664893,-3.78658307515952,-5.74300900925899
